"RowID","TYPE","TABLE","AgCROS.VarName","ParameterDescription","Units"
"1","Measurement","MeasResidueMgnt","Above G Biomass kg/ha","Biomass, aboveground, plant tissue, mean or single measurement, kilograms per hectare","kg biomass/ha"
"2","Measurement","MeasCropNutrientCycling","Above G Biomass kg/ha",NA,"kg/ha"
"3","Measurement","MeasResidueMgnt","Above G Biomass STD kg/ha","Biomass aboveground, plant tissue, StdDev, kilograms per hectare","kg biomass/ha"
"4","Measurement","MeasCropNutrientCycling","Above Ground Biomass STD",NA,"kg/ha"
"5","Measurement","MeasGrazingPlants","AboveGr Bio C kgC/ha","Carbon, aboveground live, plant tissue, mean or single measurement, kilograms of carbon per hectare","kg C/ha"
"6","Measurement","MeasGrazingPlants","AboveGr Bio C STD kgC/ha","Carbon, aboveground live, plant tissue, StdDev, kilograms of carbon per hectare","kg C/ha"
"7","Measurement","MeasGrazingPlants","AboveGr Bio kg/ha (dry)","Biomass, aboveground live, plant tissue, mean or single measurement, kilograms per hectare","kg/ha (dryweight)"
"8","Measurement","MeasGrazingPlants","AboveGr Bio N kgN/ha","Nitrogen, aboveground live, plant tissue, mean or single measurement, kilograms of nitrogen per hectare","kg N/ha"
"9","Measurement","MeasGrazingPlants","AboveGr Bio N STD kgN/ha","Nitrogen, aboveground live, plant tissue, StdDev, kilograms of nitrogen per hectare","kg N/ha"
"10","Measurement","MeasGrazingPlants","AboveGr Bio STD kg/ha (dry)","Biomass, aboveground live, plant tissue, StdDev, kilograms per hectare","kg/ha (dryweight)"
"11","Measurement","MeasBiomassCHO","Acid Det Fiber g/kg","Acid Detergent Fiber, plant tissue, grams per kilogram","g/kg"
"12","Measurement","MeasBiomassCHO","Acid Det Fiber STD g/kg","Acid Detergent Fiber, plant tissue, StdDev, grams per kilogram","g/kg"
"13","Measurement","MeasBiomassCHO","Acid Insoluble Lignin g/kg","Acid Insoluble Lignin, plant tissue, grams per kilogram","g/kg"
"14","Measurement","MeasBiomassCHO","Acid Insoluble Lignin STD g/kg","Acid Insoluble Lignin, plant tissue, StdDev, grams per kilogram","g/kg"
"15","Measurement","MeasSoilBiol","Acid Phosphatase mg/kg/hr","Acid_Phosphatase, soil, milligram ?-nitrophenol per kilogram soil per hour","mg ?-n per kg-1 soil h-0"
"16","Measurement","MeasSoilBiol","Acid Phosphatase STD mg/kg/hr","Acid_Phosphatase, soil, StdDev, milligram ?-nitrophenol per kilogram soil per hour","mg ?-n per kg-1 soil h-0"
"17","Measurement","MeasBiomassCHO","Acid Soluble Lignin g/kg","Acid Soluble Lignin, plant tissue, grams per kilogram","g/kg"
"18","Measurement","MeasBiomassCHO","Acid Soluble Lignin STD g/kg","Acid Soluble Lignin, plant tissue, StdDev, grams per kilogram","g/kg"
"19","Management","MgtAmendments","Active Ingredient Type","Pesticide type","none"
"20","Measurement","MeasSoilPhys","Aggregation %","Micro or Macroaggregation, percent","%"
"21","Measurement","MeasNutrEff","Agronomic Efficiency kg/kg","Agronomic efficiency, kilogram per kilogram","kg/kg"
"22","Measurement","MeasGHGFlux","Air Temp degC","Temperature, air, sample period, mean or single measurement, degrees Celsius","degrees Celsius"
"23","Measurement","MeasGHGFlux","Air Temp STD degC","Temperature, air, StdDev, degrees Celsius","degrees Celsius"
"24","Measurement","MeasBiomassMinAn","Al Concentration mg/kg","Al Concentration, plant tissue, milligrams per kilogram","mg/kg"
"25","Measurement","MeasBiomassMinAn","Al Concentration STD mg/kg","Al Concentration, plant tissue, StdDev, milligrams per kilogram","mg/kg"
"26","Measurement","MeasSoilBiol","Alk Phosphatase mg/kg/hr","Alkaline_Phosphatase, soil, milligram ?-nitrophenol per kilogram soil per hour","mg ?-n per kg-1 soil h-1"
"27","Measurement","MeasSoilBiol","Alk Phosphatase STD mg/kg/hr","Alkaline_Phosphatase, soil, StdDev, milligram ?-nitrophenol per kilogram soil per hour","mg ?-n per kg-1 soil h-1"
"28","Management","MgtAmendments","Amend Depth cm","Amendment depth, centimeters","cm"
"29","Management","MgtAmendments","Amend Placement","Amendment placement","none"
"30","Management","MgtAmendments","Amend Type","Amendment type","none"
"31","Background","Treatments","Animal (species)","Animal species","none"
"32","Management","MgtGrazing","Animal Class","Class list, animal type","none"
"33","Management","MgtGrazing","Animal Species","Species list, animal type","none"
"34","Measurement","MeasGrazingPlants","ANPP C kgC/ha/yr","Carbon, aboveground NPP, plant tissue, yearly, mean or single measurement, kilograms of carbon per hectare","kg C/ha/yr"
"35","Measurement","MeasGrazingPlants","ANPP C STD kgC/ha/yr","Carbon, aboveground NPP, plant tissue, yearly, StdDev, kilograms of carbon per hectare","kg C/ha/yr"
"36","Measurement","MeasGrazingPlants","ANPP N kgN/ha/yr","Nitrogen, aboveground NPP, plant tissue, yearly, mean or single measurement, kilograms of nitrogen per hectare","kg N/ha/yr"
"37","Measurement","MeasGrazingPlants","ANPP N STD kgN/ha/yr","Nitrogen, aboveground NPP, plant tissue, yearly, StdDev, kilograms of nitrogen per hectare","kg N/ha/yr"
"38","Measurement","MeasBiomassCHO","Arabinan g/kg","Arabinan, plant tissue, grams per kilogram","g/kg"
"39","Measurement","MeasBiomassCHO","Arabinan STD g/kg","Arabinan, plant tissue, StdDev, grams per kilogram","g/kg"
"40",NA,"Treatments","ARS Projects","ARS Projects","none"
"41","Measurement","MeasBiomassCHO","Ash g/kg","Ash, plant tissue, grams per kilogram","g/kg"
"42","Measurement","MeasBiomassCHO","Ash STD g/kg","Ash, plant tissue, StdDev, grams per kilogram","g/kg"
"43","Measurement","MeasBiomassEnergy","Ash STD g/kg","Mineral Matter, plant tissue, StdDev, StdDev, grams per kilogram dry matter","g/kg"
"44","Characterization","WeatherDaily","Atmos N Deposition kg/ha/d","Atmospheric nitrogen deposition, air, daily, kilograms per hectare","kg/ha/d"
"45","Background","Citations","Author","Author","none"
"46","Measurement","MeasBiomassMinAn","B Concentration mg/kg","B Concentration, plant tissue, milligrams per kilogram","mg/kg"
"47","Measurement","MeasBiomassMinAn","B Concentration STD mg/kg","B Concentration, plant tissue, StdDev, milligrams per kilogram","mg/kg"
"48","Characterization","WeatherDaily","Bad Value Flag","Bad value flag","integer"
"49","Measurement","MeasGrazingPlants","BelowGr Bio C kgC/ha","Carbon, belowground live, plant tissue, mean or single measurement, kilograms of carbon per hectare","kg C/ha"
"50","Measurement","MeasGrazingPlants","BelowGr Bio C STD kgC/ha","Carbon, belowground live, plant tissue, StdDev, kilograms of carbon per hectare","kg C/ha"
"51","Measurement","MeasGrazingPlants","BelowGr Bio N kgN/ha","Nitrogen, belowground live, plant tissue, mean or single measurement, kilograms of nitrogen per hectare","kg N/ha"
"52","Measurement","MeasGrazingPlants","BelowGr Bio N STD kgN/ha","Nitrogen, belowground live, plant tissue, StdDev, kilograms of nitrogen per hectare","kg N/ha"
"53","Measurement","MeasSoilChem","Beryllium-7 STD?Bq/kg","?Bq/kg","?Bq/kg"
"54","Measurement","MeasSoilChem","Beryllium-7?Bq/kg","?Bq/kg","?Bq/kg"
"55","Measurement","MeasGrazingPlants","Biomass N %","Nitrogen, biomass, plant tissue, mean or single measurement, percent","% (N mass/biomass mass*100)"
"56","Measurement","MeasGrazingPlants","Biomass N STD %","Nitrogen, biomass, plant tissue, StdDev, percent","% (N mass/biomass mass*100)"
"57","Measurement","MeasGrazingPlants","BNPP C kgC/ha/yr","Carbon, belowground NPP, plant tissue, yearly, mean or single measurement, kilograms of carbon per hectare","kg C/ha/yr"
"58","Measurement","MeasGrazingPlants","BNPP C STD kgC/ha/yr","Carbon, belowground NPP, plant tissue, yearly, StdDev, kilograms of carbon per hectare","kg C/ha/yr"
"59","Measurement","MeasGrazingPlants","BNPP N kgN/ha/yr","Nitrogen, belowground NPP, plant tissue, yearly, mean or single measurement, kilograms of nitrogen per hectare","kg N/ha/yr"
"60","Measurement","MeasGrazingPlants","BNPP N STD kgN/ha/yr","Nitrogen, belowground NPP, plant tissue, yearly, StdDev, kilograms of nitrogen per hectare","kg N/ha/yr"
"61","Measurement","MeasGrazingPlants","Broadleaf vs Grass","Leaf type","none"
"62","Measurement","MeasSoilPhys","Bulk Density g/cm3","Bulk density, soil, grams per centimeter squared","g/cm3"
"63","Measurement","MeasSoilPhys","Bulk Density STD g/cm3","Bulk density, soil, StdDev, grams per centimeter squared","g/cm3"
"64","Management","MgtGrazing","Burn Frequency years between burns","Burn frequency, operations, number of years between burn events","years/burn"
"65","Management","MgtGrazing","Burn Intensity","Burn intensity, operations","none"
"66","Measurement","MeasBiomassMinAn","C Concentration g/kg","C Concentration, plant tissue, grams per kilogram","g/kg"
"67","Measurement","MeasBiomassMinAn","C Concentration STD g/kg","C Concentration, plant tissue, StdDev, grams per kilogram","g/kg"
"68","Measurement","MeasBiomassMinAn","Ca Concentration g/kg","Ca Concentration, plant tissue, grams per kilogram","g/kg"
"69","Measurement","MeasBiomassMinAn","Ca Concentration STD g/kg","Ca Concentration, plant tissue, StdDev, grams per kilogram","g/kg"
"70","Measurement","MeasSoilChem","Ca mgCa/kg","Calcium, soil, milligrams Ca per kilogram soil","mg Ca/kg"
"71","Measurement","MeasSoilChem","Ca STD mgCa/kg","Calcium, soil, StdDev, milligrams Ca per kilogram soil","mg Ca/kg"
"72","Measurement","MeasSoilChem","CEC cmol/kg","Cation exchange capacity, soil, cmol per kilogram soil","cmol/kg"
"73","Measurement","MeasSoilChem","CEC STD cmol/kg","Cation exchange capacity, soil, StdDev, cmol per kilogram soil","cmol/kg"
"74","Measurement","MeasSoilChem","Cesium-137 Bq/kg","?Bq/kg","?Bq/kg"
"75","Measurement","MeasSoilChem","Cesium-137 STD Bq/kg","?Bq/kg","?Bq/kg"
"76","Measurement","MeasGHGFlux","CH4 gC/ha/d","Methane, air, daily, mean or single measurement, grams C per hectare","g C/ha/d"
"77","Measurement","MeasGHGFlux","CH4 Interp=0 Obs=1","CH4 Measurement value type","none"
"78","Measurement","MeasGHGFlux","CH4 STD gC/ha/d","Methane, air, daily, StdDev, grams C per hectare","g C/ha/d"
"79","Measurement","MeasGHGFlux","Chamber Placement","Chamber placement","none"
"80","Background","ExperUnits","Change in Management","Management change","none"
"81","Measurement","MeasCropForageQuality","Chemical Compound",NA,NA
"82","Background","Citations","Citation","Full Citation","none"
"83","Background","FieldSites","City","City","none"
"84","Measurement","MeasBiomassMinAn","Cl Concentration g/kg","Cl Concentration, plant tissue, grams per kilogram","g/kg"
"85","Measurement","MeasBiomassMinAn","Cl Concentration STD g/kg","Cl Concentration, plant tissue, StdDev, grams per kilogram","g/kg"
"86","Measurement","MeasSoilPhys","Clay %","Clay, soil, percent","%"
"87","Characterization","WeatherDaily","Closed Pan Evap mm/d","Evaporation, closed pan, no media, daily, millimeters","mm/d"
"88","Measurement","MeasGHGFlux","CO2 gC/ha/d","Carbon dioxide, air, daily, mean or single measurement, grams C per hectare","g C/ha/d"
"89","Measurement","MeasGHGFlux","CO2 Interp=0 Obs=1","CO2 Measurement value type","none"
"90","Measurement","MeasGHGFlux","CO2 STD gC/ha/d","Carbon dioxide, air, daily, StdDev, grams C per hectare","g C/ha/d"
"91","Comments","AllCellComments","Comment","Comment","none"
"92","Measurement","MeasResidueMgnt","Corn Ear Height cm","Corn height, plant tissue, centimeters","cm"
"93","Measurement","MeasCropNutrientCycling","Corn Ear Height cm",NA,"cm"
"94","Measurement","MeasCropNutrientCycling","Corn Ear Height STD",NA,"cm"
"95","Measurement","MeasResidueMgnt","Corn Ear Height STD cm","Corn height, plant tissue, StdDev. centimeters","cm"
"96","Background","Citations","Correspond Author","Corresponding Author","none"
"97","Background","FieldSites","Country","ISO country code","none"
"98","Background","FieldSites","County","County","none"
"99","Background","Treatments","Cover Crop","Cover crop","none"
"100","Management","MgtAmendments","Crop","Crop name","none"
"101","Management","MgtPlanting","Crop","Crop name, plant type","none"
"102","Management","MgtTillage","Crop","Crop name","none"
"103","Management","MgtGrowthStages","Crop","Crop name","none"
"104","Management","MgtResidue","Crop","Crop name","none"
"105","Measurement","MeasNutrEff","Crop","Crop name","none"
"106","Measurement","MeasSoilCover","Crop","Crop name","none"
"107","Measurement","MeasGHGFlux","Crop","Crop name","none"
"108","Measurement","MeasResidueMgnt","Crop","Crop name","none"
"109","Measurement","MeasHarvestFraction","Crop","Crop name","none"
"110","Measurement","MeasBiomassCHO","Crop","Crop name","none"
"111","Measurement","MeasBiomassEnergy","Crop","Crop name","none"
"112","Measurement","MeasBiomassMinAn","Crop","Crop name","none"
"113","Measurement","MeasYieldNutrientUptake","Crop","Crop name","none"
"114","Measurement","MeasGasNutrientLoss","Crop","Crop name","none"
"115","Measurement","MeasWaterQualityConc","Crop","Crop name","none"
"116","Measurement","MeasWaterQualityArea","Crop","Crop name","none"
"117","Measurement","MeasPlantMonitoring","Crop","Crop name","none"
"118","Measurement","MeasCropForageQuality","Crop","Crop name","none"
"119","Measurement","MeasCropNutrientCycling","Crop","Crop name","none"
"120","Measurement","MeasWindErosionConc","Crop","Crop name","none"
"121","Measurement","MeasWindErosionArea","Crop","Crop name","none"
"122","Measurement","MeasPlantMonitoring","Crop Monitoring Test",NA,NA
"123","Measurement","MeasBiomassCHO","Crude Protein g/kg","Crude Protein, plant tissue, grams per kilogram","g/kg"
"124","Measurement","MeasBiomassCHO","Crude Protein STD g/kg","Crude Protein, plant tissue, StdDev, grams per kilogram","g/kg"
"125","Measurement","MeasBiomassMinAn","Cu Concentration mg/kg","Cu Concentration, plant tissue, milligrams per kilogram","mg/kg"
"126","Measurement","MeasBiomassMinAn","Cu Concentration STD mg/kg","Cu Concentration, plant tissue, StdDev, milligrams per kilogram","mg/kg"
"127","Measurement","MeasSoilChem","Cu mgCu/kg","Copper, soil, milligrams Cu per kilogram soil","mg Cu/kg"
"128","Measurement","MeasSoilChem","Cu STD mgCu/kg","Copper, soil, StdDev, milligrams Cu per kilogram soil","mg Cu/kg"
"129","Management","MgtPlanting","Cultivar","Cultivar, plant type","none"
"130","Management","MgtResidue","Cutting Height/Material Harvested","Height at cutting","none"
"131","Background","Overview","Dataset Descriptor","Describle the dataset","none"
"132","Background","Overview","Dataset Name","Short name of the dataset","none"
"133","Background","FieldSites","Date","Start date","mm/dd/yyyy"
"134","Characterization","WeatherStation","Date","Date","mm/dd/yyyy"
"135","Management","MgtAmendments","Date","Date","mm/dd/yyyy"
"136","Management","MgtPlanting","Date","Date","mm/dd/yyyy"
"137","Management","MgtTillage","Date","Date","mm/dd/yyyy"
"138","Management","MgtGrowthStages","Date","Date","mm/dd/yyyy"
"139","Management","MgtResidue","Date","Date","mm/dd/yyyy"
"140","Measurement","MeasNutrEff","Date","Date","mm/dd/yyyy"
"141","Measurement","MeasSoilPhys","Date","Date","mm/dd/yyyy"
"142","Measurement","MeasSoilChem","Date","Measurement identifier","mm/dd/yyyy"
"143","Measurement","MeasSoilBiol","Date","Measurement identifier","mm/dd/yyyy"
"144","Measurement","MeasSoilCover","Date","Date","mm/dd/yyyy"
"145","Measurement","MeasARGenes","Date","Date","mm/dd/yyyy"
"146","Measurement","MeasGHGFlux","Date","Date","mm/dd/yyyy"
"147","Measurement","MeasResidueMgnt","Date","Date","mm/dd/yyyy"
"148","Measurement","MeasBiomassCHO","Date","Date","mm/dd/yyyy"
"149","Measurement","MeasBiomassEnergy","Date","Date","mm/dd/yyyy"
"150","Measurement","MeasBiomassMinAn","Date","Date","mm/dd/yyyy"
"151","Measurement","MeasGrazingPlants","Date","Date","mm/dd/yyyy"
"152","Measurement","MeasGasNutrientLoss","Date","Date","mm/dd/yyyy"
"153","Measurement","MeasWaterQualityConc","Date","Date","mm/dd/yyyy"
"154","Measurement","MeasWaterQualityArea","Date","Date","mm/dd/yyyy"
"155","Measurement","MeasPlantMonitoring","Date","Date","mm/dd/yyyy"
"156","Measurement","MeasCropForageQuality","Date","Date","mm/dd/yyyy"
"157","Measurement","MeasCropNutrientCycling","Date","Date","mm/dd/yyyy"
"158","Measurement","MeasWindErosionConc","Date","Date","mm/dd/yyyy"
"159","Measurement","MeasWindErosionArea","Date","Date","mm/dd/yyyy"
"160","Background","Persons","Date Created","Creation date","mm/dd/yyyy"
"161","Comments","AllCellComments","Date Entered","Date","mm/dd/yyyy"
"162","Background","Citations","Date Published","Date Published YEAR","year (yyyy)"
"163","Background","Persons","Department","Department","none"
"164","Background","Citations","Description","A description user might find useful","none"
"165","Characterization","WeatherDaily","Dew Point degC","Dew point, air, daily, mean, degrees Celsius","degrees Celsius"
"166","Characterization","WeatherStation","Direction from Field","Direction from station to research site","direction"
"167","Measurement","MeasWaterQualityArea","Dissolved g B/ha","Dissolved g B/ha","g B/ha"
"168","Measurement","MeasWaterQualityArea","Dissolved g B/ha STD","Dissolved g B/ha STD","g B/ha"
"169","Measurement","MeasWaterQualityArea","Dissolved g Cu/ha","Dissolved g Cu/ha","g Cu/ha"
"170","Measurement","MeasWaterQualityArea","Dissolved g Cu/ha STD","Dissolved g Cu/ha STD","g Cu/ha"
"171","Measurement","MeasWaterQualityArea","Dissolved g Fe/ha","Dissolved g Fe/ha","g Fe/ha"
"172","Measurement","MeasWaterQualityArea","Dissolved g Fe/ha STD","Dissolved g Fe/ha STD","g Fe/ha"
"173","Measurement","MeasWaterQualityArea","Dissolved g Mn/ha","Dissolved g Mn/ha","g Mn/ha"
"174","Measurement","MeasWaterQualityArea","Dissolved g Mn/ha STD","Dissolved g Mn/ha STD","g Mn/ha"
"175","Measurement","MeasWaterQualityArea","Dissolved g Mo/ha","Dissolved g Mo/ha","g Mo/ha"
"176","Measurement","MeasWaterQualityArea","Dissolved g Mo/ha STD","Dissolved g Mo/ha STD","g Mo/ha"
"177","Measurement","MeasWaterQualityArea","Dissolved g Zn/ha","Dissolved g Zn/ha","g Zn/ha"
"178","Measurement","MeasWaterQualityArea","Dissolved g Zn/ha STD","Dissolved g Zn/ha STD","g Zn/ha"
"179","Measurement","MeasWaterQualityArea","Dissolved kg Al/ha","Dissolved kg Al/ha","kg Al/ha"
"180","Measurement","MeasWaterQualityArea","Dissolved kg Al/ha STD","Dissolved kg Al/ha STD","kg Al/ha"
"181","Measurement","MeasWaterQualityArea","Dissolved kg Ca/ha","Dissolved kg Ca/ha","kg Ca/ha"
"182","Measurement","MeasWaterQualityArea","Dissolved kg Ca/ha STD","Dissolved kg Ca/ha STD","kg Ca/ha"
"183","Measurement","MeasWaterQualityArea","Dissolved kg K/ha","Dissolved kg K/ha","kg K/ha"
"184","Measurement","MeasWaterQualityArea","Dissolved kg K/ha STD","Dissolved kg K/ha STD","kg K/ha"
"185","Measurement","MeasWaterQualityArea","Dissolved kg Mg/ha","Dissolved kg Mg/ha","kg Mg/ha"
"186","Measurement","MeasWaterQualityArea","Dissolved kg Mg/ha STD","Dissolved kg Mg/ha STD","kg Mg/ha"
"187","Measurement","MeasWaterQualityArea","Dissolved kg Na/ha","Dissolved kg Na/ha","kg Na/ha"
"188","Measurement","MeasWaterQualityArea","Dissolved kg Na/ha STD","Dissolved kg Na/ha STD","kg Na/ha"
"189","Measurement","MeasWaterQualityArea","Dissolved kg S/ha","Dissolved kg S/ha","kg S/ha"
"190","Measurement","MeasWaterQualityArea","Dissolved kg S/ha STD","Dissolved kg S/ha STD","kg S/ha"
"191","Measurement","MeasWaterQualityArea","Dissolved kg Si/ha","Dissolved kg Si/ha","kg Si/ha"
"192","Measurement","MeasWaterQualityArea","Dissolved kg Si/ha STD","Dissolved kg Si/ha STD","kg Si/ha"
"193","Measurement","MeasWaterQualityConc","Dissolved mg Al/L","Dissolved mg Al/L","mg Al/L"
"194","Measurement","MeasWaterQualityConc","Dissolved mg Al/L STD","Dissolved mg Al/L STD","mg Al/L"
"195","Measurement","MeasWaterQualityConc","Dissolved mg Ca/L","Dissolved mg Ca/L","mg Ca/L"
"196","Measurement","MeasWaterQualityConc","Dissolved mg Ca/L STD","Dissolved mg Ca/L STD","mg Ca/L"
"197","Measurement","MeasWaterQualityConc","Dissolved mg K/L","Dissolved mg K/L","mg K/L"
"198","Measurement","MeasWaterQualityConc","Dissolved mg K/L STD","Dissolved mg K/L STD","mg K/L"
"199","Measurement","MeasWaterQualityConc","Dissolved mg Mg/L","Dissolved mg Mg/L","mg Mg/L"
"200","Measurement","MeasWaterQualityConc","Dissolved mg Mg/L STD","Dissolved mg Mg/L STD","mg Mg/L"
"201","Measurement","MeasWaterQualityConc","Dissolved mg Na/L","Dissolved mg Na/L","mg Na/L"
"202","Measurement","MeasWaterQualityConc","Dissolved mg Na/L STD","Dissolved mg Na/L STD","mg Na/L"
"203","Measurement","MeasWaterQualityConc","Dissolved mg S/L","Dissolved mg S/L","mg S/L"
"204","Measurement","MeasWaterQualityConc","Dissolved mg S/L STD","Dissolved mg S/L STD","mg S/L"
"205","Measurement","MeasWaterQualityConc","Dissolved mg Si/L","Dissolved mg Si/L","mg Si/L"
"206","Measurement","MeasWaterQualityConc","Dissolved mg Si/L STD","Dissolved mg Si/L STD","mg Si/L"
"207","Measurement","MeasWaterQualityConc","Dissolved ug B/L","Dissolved ug B/L","ug B/L"
"208","Measurement","MeasWaterQualityConc","Dissolved ug B/L STD","Dissolved ug B/L STD","ug B/L"
"209","Measurement","MeasWaterQualityConc","Dissolved ug Cu/L","Dissolved ug Cu/L","ug Cu/L"
"210","Measurement","MeasWaterQualityConc","Dissolved ug Cu/L STD","Dissolved ug Cu/L STD","ug Cu/L"
"211","Measurement","MeasWaterQualityConc","Dissolved ug Fe/L","Dissolved ug Fe/L","ug Fe/L"
"212","Measurement","MeasWaterQualityConc","Dissolved ug Fe/L STD","Dissolved ug Fe/L STD","ug Fe/L"
"213","Measurement","MeasWaterQualityConc","Dissolved ug Mn/L","Dissolved ug Mn/L","ug Mn/L"
"214","Measurement","MeasWaterQualityConc","Dissolved ug Mn/L STD","Dissolved ug Mn/L STD","ug Mn/L"
"215","Measurement","MeasWaterQualityConc","Dissolved ug Mo/L","Dissolved ug Mo/L","ug Mo/L"
"216","Measurement","MeasWaterQualityConc","Dissolved ug Mo/L STD","Dissolved ug Mo/L STD","ug Mo/L"
"217","Measurement","MeasWaterQualityConc","Dissolved ug Zn/L","Dissolved ug Zn/L","ug Zn/L"
"218","Measurement","MeasWaterQualityConc","Dissolved ug Zn/L STD","Dissolved ug Zn/L STD","ug Zn/L"
"219","Characterization","WeatherStation","Distance from Field m","Distance from research site, meters","m"
"220","Measurement","MeasSoilBiol","DNA","DNA, soil, was it measured","none"
"221","Background","Overview","Duration of Dataset","Duration of experiment, number of years","number of years"
"222","Measurement","MeasWaterQualityArea","EC mS/cm","EC mS/cm ","mS/cm"
"223","Measurement","MeasWindErosionConc","EC mS/cm","mS/cm","mS/cm"
"224","Measurement","MeasWindErosionArea","EC mS/cm","mS/cm","mS/cm"
"225","Measurement","MeasWaterQualityConc","EC mS/cm ","EC mS/cm ","mS/cm"
"226","Measurement","MeasWaterQualityConc","EC mS/cm STD","EC mS/cm STD","mS/cm"
"227","Measurement","MeasWaterQualityArea","EC mS/cm STD","EC mS/cm STD","mS/cm"
"228","Measurement","MeasWindErosionConc","EC mS/cm STD","mS/cm","mS/cm"
"229","Measurement","MeasWindErosionArea","EC mS/cm STD","mS/cm","mS/cm"
"230","Measurement","MeasSoilChem","Electric Conduc siemens/m","Soil electrical conductivity, soil, siemens per meter","siemens/m"
"231","Measurement","MeasSoilChem","Electric Conduc STD siemens/m","Soil electrical conductivity, soil, StdDev, siemens per meter","siemens/m"
"232","Background","FieldSites","Elevation m","Elevation, meters","m"
"233","Background","Persons","Email","Email","none"
"234","Background","Overview","End Date","End date","mm/dd/yyyy"
"235","Background","ExperUnits","End Date","End date","mm/dd/yyyy"
"236","Management","MgtGrazing","End Date","End date","mm/dd/yyyy"
"237","Management","MgtResidue","Equipment Type","Equipment type","none"
"238","Measurement","MeasWaterQualityConc","Erosion kg (sediment)","Erosion kg (sediment)","kg"
"239","Measurement","MeasWaterQualityConc","Erosion kg (sediment) STD","Erosion kg (sediment) STD","kg"
